COVENTRY EAGLE, 
SHERCO, 0.5
SHERCO, 0.5 KID
SHERCO, 0.5 TRIAL
SHERCO, 0.8
SHERCO, 0.8 TRIAL
WAKAN, 100
LAVERDA, 1000
LAVERDA, 1000 3 C
MV AGUSTA, 1000 AGO
MOTO GUZZI, 1000 DAYTONA INJECTION
KAWASAKI, 1000 GTR
LAVERDA, 1000 JOTA
LAVERDA, 1000 JOTA/120
MOTO GUZZI, 1000 QUOTA INJECTION
LAVERDA, 1000 RGS
LAVERDA, 1000 RGS/2
LAVERDA, 1000 RGS-JOTA
MZ, 1000S
MZ, 1000 S
DUCATI, 1000 S 2
MZ, 1000 SF
LAVERDA, 1000 SFC
MZ, 1000 SF STREETFIGHTER
MZ, 1000SF SUPERFIGHTER
DUCATI, 1000 SS HAILWOOD-REPLICA
MZ, 1000 ST SUPERTRAVELLER
MZ, 1000ST SUPERTRAVELLER
MONDIAL, 100 ARDOUR
KAWASAKI, 100 G4TR
KAWASAKI, 100 G5
KAWASAKI, 100 G 7 T
E-MAX, 100L
MONDIAL, 100 LOYAL
WAKAN, 100 ROADSTER
JAWA-CZ, 100 ROBBY
MONDIAL, 100 RT
MONDIAL, 100 UGK
NSU, 101 OSB
TGB, 101R
TGB, 101 R
TGB, 101R 125
TGB, 101R 150
TGB, 101R (150CC)
TGB, 101R 50
TGB, 101S
TGB, 101S (125CC)
TGB, 101S 50
TGB, 101S (90 CC)
INDIAN, 101 SCOUT
TGB, 104T 50
KTM, 1050 ADVENTURE
HIGHLAND, 1050CC VIKING
HIGHLAND, 1050 VIKING
KTM, 105 SX
KTM, 1090 ADVENTURE R
VICTORY, 10TH ANNIVERSARY VISION TOUR
MOTO GUZZI, 1100 CALIFORNIA EV
MV AGUSTA, 1100 GRAND PRIX
MOTO GUZZI, 1100 SPORT
MOTO GUZZI, 1100 SPORT CORSA
ZONGSHEN, 110-9
LINHAI, 110 GY
E-MAX, 110S
BUELL, 1125CR CAFE RACER
BUELL, 1125R
ERIK BUELL RACING, 1125R DSB
ERIK BUELL RACING, 1125RR ASB
ROEHR, 1130 SUPERBIKE
KTM, 1190 ADVENTURE
KTM, 1190 ADVENTURE R
KTM, 1190 RC8
KTM, 1190 RC8 CARBON
KTM, 1190 RC8 R
KTM, 1190 RC8 R AKRAPOVIC
KTM, 1190 RC8 R AKRAPOVIC LIMITED EDITION
KTM, 1190 RC8 R RACE SPECS
KTM, 1190 RC8 R RED BULL
KTM, 1190 RC8 R RED BULL LIMITED EDITION
KTM, 1190 RC8 R TRACK
ERIK BUELL RACING, 1190RR
ERIK BUELL RACING, 1190RS
ERIK BUELL RACING, 1190RS CARBON EDITION
ERIK BUELL RACING, 1190RX
DUCATI, 1198
DUCATI, 1198 R CORSE SPECIAL EDITION
DUCATI, 1198 S
DUCATI, 1198 S CORSE SPECIAL EDITION
DUCATI, 1199 PANIGALE
DUCATI, 1199 PANIGALE R
DUCATI, 1199 PANIGALE S
DUCATI, 1199 PANIGALE S TRICOLORE
HARLEY-DAVIDSON, 11KR
MINSK, 12
SUPER MOTOR, 120
LAVERDA, 1200
HARLEY-DAVIDSON, 1200 CUSTOM 110TH ANNIVERSARY
HARLEY-DAVIDSON, 1200 CUSTOM LIMITED EDITION A
HARLEY-DAVIDSON, 1200 CUSTOM LIMITED EDITION B
MOTO GUZZI, 1200 SPORT
MOTO GUZZI, 1200 SPORT 4V
MOTO GUZZI, 1200 SPORT ABS
MOTO GUZZI, 1200 SPORT ROSSO CORSA
HARLEY-DAVIDSON, 1200 SPORTSTER
HARLEY-DAVIDSON, 1200 SPORTSTER CUSTOM
HARLEY-DAVIDSON, 1200 SPORTSTER SPORT
LAVERDA, 1200 TS
E-MAX, 120L
E-MAX, 120S
E-MAX, 120S-D DELIVERY
DIRICO, 120X
GILERA, 124 5V
JOTAGAS, 125
HONDA, @ 125
SHERCO, 1.25
ROEHR, 1250SC
OSET, 12.5 24V ECO
OSET, 12.5 24V RACING
BENELLI, 125 2 C
SUKIDA, 125-2C STIFF
ZONGSHEN, 125 - 30
MONDIAL, 125 AGGRESSIVE
MONDIAL, 125 ARDOUR
YUKI, 125 ARROW
LAMBRETTA, 125B
JORDAN, 125-B BOXER
JORDAN, 125B BOXER
LAMBRETTA, 125C
CAGIVA, 125 C 10 FRECCIA
CAGIVA, 125 C 12 R FRECCIA
CAGIVA, 125 C 9 FRECCIA
SHERCO, 125CC ENDURO
SHERCO, 125CC ENDURO SHARK REPLICA
SHERCO, 125CC SM
SHERCO, 125CC SM IPONE REPLICA
JAWA-CZ, 125 CHOPPER
BAJAJ, 125 CLASSIC
YUKI, 125 CRS
CAGIVA, 125 CRUISER
JAWA-CZ, 125 DAKAR
JAWA-CZ, 125 DANDY
MBK, 125 DC
SHINETIME, 125 DIRT BIKE EPA
LAMBRETTA, 125D SERIES 1
LAMBRETTA, 125D SERIES 2
KTM, 125 DUKE
LAMBRETTA, 125E
MALANCA, 125 E 2 CS OB ONE 5 N
MALANCA, 125 E 2 CS OB ONE 6 N
MALANCA, 125 E 2 CS OB ONE RACING
MALANCA, 125 E 2 C SPORT
AJS, 125 ECO COMMUTER
SHERCO, 125 ENDURO
PUCH, 125 ENDURO (5-SPEED)
PUCH, 125 ENDURO (6-SPEED)
SHERCO, 125 ENDURO SHARK REPLICA
KTM, 125 ENDURO SPORT
KTM, 125 EXC
KTM, 125 EXC SIXDAYS
KTM, 125 EXC SIX DAYS
LAMBRETTA, 125F
KAWASAKI, 125 F 6
SCORPA, 125 FACTORY
FGR, 125 GP
KYMCO, 125 GRAND KING
PUCH, 125 GS
PUCH, 125 GS (5-SPEED)
KYMCO, 125 HIPSTER 4V H/BAR
